datetime,Power_kW,temp_C,HR,windSpeed_m/s,windGust_m/s,pres_mbar,solarRad_W/m2,rain_mm/h,Holiday,weekday,hour,Heating_Day,Cooling_Day,temp_C_lag1,HR_lag1,windSpeed_m/s_lag1,Power_kW_lag1,sin_hour,cos_hour,temp_HR_interaction,predicted_Power_kW
2019-03-18 13:00:00,298.008,16.63083333333333,39.34583333333333,0.0,0.0,1023.5833333333334,793.9166666666666,0.0,0,0,13,1,0,14.963333333333331,43.92333333333334,0.0,303.634,-0.2588190451025208,-0.9659258262890683,654.3539965277777,300.59297004099994
2019-03-18 14:00:00,311.978,17.513333333333332,35.39416666666667,0.0,0.0,1023.0,718.5333333333333,0.0,0,0,14,1,0,16.63083333333333,39.34583333333333,0.0,298.008,-0.4999999999999997,-0.8660254037844388,619.8698388888889,312.86347346800005
2019-03-18 15:00:00,300.921,18.17833333333333,33.39416666666667,0.0,0.0,1023.0,583.4083333333333,0.0,0,0,15,1,0,17.513333333333332,35.39416666666667,0.0,311.978,-0.7071067811865471,-0.7071067811865479,607.0502930555556,311.307137505
2019-03-18 16:00:00,295.331,18.309166666666663,33.32,0.0,0.0,1022.4166666666666,407.0333333333333,0.0,0,0,16,1,0,18.17833333333333,33.39416666666667,0.0,300.921,-0.8660254037844385,-0.5000000000000004,610.0614333333332,291.75537172599996
2019-03-18 17:00:00,268.969,16.805,40.833333333333336,0.0,0.0,1023.0,203.15833333333333,0.0,0,0,17,1,0,18.309166666666663,33.32,0.0,295.331,-0.9659258262890683,-0.25881904510252063,686.2041666666667,267.59004581400023
2019-03-18 18:00:00,246.218,14.82,44.37166666666667,0.0,0.0,1023.6666666666666,35.3705,0.0,0,0,18,1,0,16.805,40.833333333333336,0.0,268.969,-1.0,-1.8369701987210297e-16,657.5881,232.87948474699996
2019-03-18 19:00:00,209.66,13.479166666666666,46.78,0.0,0.0,1024.1666666666667,1.1098333333333332,0.0,0,0,19,1,0,14.82,44.37166666666667,0.0,246.218,-0.9659258262890684,0.2588190451025203,630.5554166666667,206.51058983099992
2019-03-18 20:00:00,154.146,12.946666666666664,49.2275,0.0,0.0,1025.0,0.9138333333333332,0.0,0,0,20,1,0,13.479166666666666,46.78,0.0,209.66,-0.8660254037844386,0.5000000000000001,637.3320333333331,164.03390831100006
2019-03-18 21:00:00,145.541,12.293333333333337,53.153333333333336,0.0,0.0,1025.0833333333333,0.8929999999999999,0.0,0,0,21,1,0,12.946666666666664,49.2275,0.0,154.146,-0.7071067811865477,0.7071067811865474,653.4316444444446,142.92215009800006
2019-03-18 22:00:00,144.583,11.945,54.08416666666667,0.0,0.0,1025.4166666666667,1.041,0.0,0,0,22,1,0,12.293333333333337,53.153333333333336,0.0,145.541,-0.5000000000000004,0.8660254037844384,646.0353708333333,136.97975263699993
2019-03-18 23:00:00,144.248,12.06,50.34666666666666,0.0,0.0,1026.0,1.1634166666666668,0.0,0,0,23,1,0,11.945,54.08416666666667,0.0,144.583,-0.25881904510252157,0.9659258262890681,607.1807999999999,137.66976241199995
2019-03-19 00:00:00,140.38,12.241666666666667,48.04750000000001,0.0,0.0,1025.3333333333333,1.1124166666666666,0.0,0,1,0,1,0,12.06,50.34666666666666,0.0,144.248,0.0,1.0,588.1814791666668,142.89801362200004
2019-03-19 01:00:00,139.029,12.265833333333331,47.0525,0.0,0.0,1025.0,0.8675833333333333,0.0,0,1,1,1,0,12.241666666666667,48.04750000000001,0.0,140.38,0.25881904510252074,0.9659258262890683,577.1381229166666,139.04424597700003
2019-03-19 02:00:00,133.297,12.219166666666666,46.3175,0.0,0.0,1025.0,0.7778333333333333,0.0,0,1,2,1,0,12.265833333333331,47.0525,0.0,139.029,0.49999999999999994,0.8660254037844387,565.9612520833333,137.4625533190001
2019-03-19 03:00:00,127.946,12.0225,45.1575,0.0,0.0,1024.0,0.9209166666666668,0.0,0,1,3,1,0,12.219166666666666,46.3175,0.0,133.297,0.7071067811865476,0.7071067811865476,542.90604375,133.07214465999994
2019-03-19 04:00:00,134.087,11.809166666666668,44.13,0.0,0.0,1024.0,0.9970833333333332,0.0,0,1,4,1,0,12.0225,45.1575,0.0,127.946,0.8660254037844386,0.5000000000000001,521.1385250000001,126.46672038000004
2019-03-19 05:00:00,133.777,11.6425,42.8875,0.0,0.0,1024.0,1.010916666666667,0.0,0,1,5,1,0,11.809166666666668,44.13,0.0,134.087,0.9659258262890683,0.25881904510252074,499.31771875000004,136.61112301199992
2019-03-19 06:00:00,142.654,11.521666666666668,42.48583333333333,0.0,0.0,1024.3333333333333,6.0035,0.0,0,1,6,1,0,11.6425,42.8875,0.0,133.777,1.0,6.123233995736766e-17,489.5076097222223,149.53076201700003
2019-03-19 07:00:00,166.919,12.165833333333332,40.571666666666665,0.0,0.0,1025.0,127.39166666666668,0.0,0,1,7,1,0,11.521666666666668,42.48583333333333,0.0,142.654,0.9659258262890683,-0.25881904510252063,493.58813472222215,167.79434489999997
2019-03-19 08:00:00,233.375,12.3175,44.66,0.0,0.0,1025.0,325.1,0.0,0,1,8,1,0,12.165833333333332,40.571666666666665,0.0,166.919,0.8660254037844387,-0.4999999999999998,550.09955,229.38312615400005
2019-03-19 09:00:00,266.584,13.8625,38.29,0.0,0.0,1025.0,517.6,0.0,0,1,9,1,0,12.3175,44.66,0.0,233.375,0.7071067811865476,-0.7071067811865475,530.795125,282.6031829530001
2019-03-19 10:00:00,293.694,14.465833333333334,35.7475,0.0,0.0,1025.0,671.8583333333333,0.0,0,1,10,1,0,13.8625,38.29,0.0,266.584,0.49999999999999994,-0.8660254037844387,517.1173770833334,290.49418852999986
2019-03-19 11:00:00,307.165,15.6375,31.765833333333333,0.0,0.0,1025.0,775.0833333333334,0.0,0,1,11,1,0,14.465833333333334,35.7475,0.0,293.694,0.258819045102521,-0.9659258262890682,496.73821875,299.2442345619998
2019-03-19 12:00:00,292.678,16.570833333333333,30.1725,0.0,0.0,1025.0,818.0,0.0,0,1,12,1,0,15.6375,31.765833333333333,0.0,307.165,1.2246467991473532e-16,-1.0,499.98346875,297.4075224119997
2019-03-19 13:00:00,279.696,17.599166666666665,28.390833333333333,0.0,0.0,1024.1666666666667,797.4166666666666,0.0,0,1,13,1,0,16.570833333333333,30.1725,0.0,292.678,-0.2588190451025208,-0.9659258262890683,499.65500763888883,289.6623026569998
2019-03-19 14:00:00,300.863,18.599166666666665,25.315,0.0,0.0,1024.0,720.3000000000001,0.0,0,1,14,1,0,17.599166666666665,28.390833333333333,0.0,279.696,-0.4999999999999997,-0.8660254037844388,470.83790416666665,297.495600038
2019-03-19 15:00:00,299.579,18.829166666666666,24.3725,0.0,0.0,1023.75,586.2166666666667,0.0,0,1,15,1,0,18.599166666666665,25.315,0.0,300.863,-0.7071067811865471,-0.7071067811865479,458.9138645833333,309.03116953800003
2019-03-19 16:00:00,285.373,19.091666666666665,25.03916666666667,0.0,0.0,1023.0,409.975,0.0,0,1,16,1,0,18.829166666666666,24.3725,0.0,299.579,-0.8660254037844385,-0.5000000000000004,478.03942361111115,291.58446990400006
2019-03-19 17:00:00,260.684,18.4475,31.109166666666667,0.0,0.0,1023.3333333333334,202.74166666666667,0.0,0,1,17,1,0,19.091666666666665,25.03916666666667,0.0,285.373,-0.9659258262890683,-0.25881904510252063,573.8863520833333,261.608919481
2019-03-19 18:00:00,222.06,16.809166666666666,40.7425,0.0,0.0,1024.0,36.35766666666667,0.0,0,1,18,1,0,18.4475,31.109166666666667,0.0,260.684,-1.0,-1.8369701987210297e-16,684.8474729166667,225.68766884299987
2019-03-19 19:00:00,190.41,14.955833333333333,46.32583333333333,0.0,0.0,1024.0,0.9066666666666668,0.0,0,1,19,1,0,16.809166666666666,40.7425,0.0,222.06,-0.9659258262890684,0.2588190451025203,692.841442361111,192.55803439600004
2019-03-19 20:00:00,155.244,14.605833333333331,46.9775,0.0,0.0,1024.8333333333333,0.9275,0.0,0,1,20,1,0,14.955833333333333,46.32583333333333,0.0,190.41,-0.8660254037844386,0.5000000000000001,686.1455354166666,156.10375316899993
2019-03-19 21:00:00,143.186,14.628333333333332,45.935833333333335,0.0,0.0,1025.0,0.8515,0.0,0,1,21,1,0,14.605833333333331,46.9775,0.0,155.244,-0.7071067811865477,0.7071067811865474,671.9646819444445,146.79661332700005
2019-03-19 22:00:00,139.327,14.398333333333332,47.520833333333336,0.0,0.0,1025.9166666666667,1.0060833333333334,0.0,0,1,22,1,0,14.628333333333332,45.935833333333335,0.0,143.186,-0.5000000000000004,0.8660254037844384,684.220798611111,135.61057482700005
2019-03-19 23:00:00,139.883,14.320833333333333,48.9825,0.0,0.0,1026.0,1.1399166666666667,0.0,0,1,23,1,0,14.398333333333332,47.520833333333336,0.0,139.327,-0.25881904510252157,0.9659258262890681,701.47021875,134.19283523100006
2019-03-20 00:00:00,136.775,13.740833333333333,50.55166666666667,0.0,0.0,1026.0,0.9348333333333332,0.0,0,2,0,1,0,14.320833333333333,48.9825,0.0,139.883,0.0,1.0,694.6220263888889,138.448758175
